k,n_users,train_size,test_size,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,anxiety_pct,control_pct
3,18484,39021,8270,0.8875453446191052,0.9277328463344638,0.844856260394393,0.8843571250932604,0.9407417145129786,50.519368102142394,49.480631897857606
5,6834,23797,5144,0.8794712286158631,0.9171644763042612,0.8482504604051565,0.8813624186758515,0.9385156492262388,51.40474100087796,48.59525899912204
10,1722,11884,2714,0.8651436993367723,0.9180672268907563,0.8403846153846154,0.8775100401606426,0.9288833711060749,55.57491289198606,44.42508710801394
20,222,3062,679,0.9499263622974963,0.9577039274924471,0.990625,0.9738863287250384,0.9225560897435897,93.24324324324324,6.756756756756757
